@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4566,'2019/02/13 20:52:21:389',8,-0.007874,-0.007874,0,-0.007874,0.023622,0,0,-0.007874,0,0,-0.07874,-0.015748,-0.015748,-0.023622,-0.023622,0,-0.100403,-0.193665,-0.459473,0.860962,-0.430664,-0.751953,0.515625,-0.25,1.6875,1.25,0,0
4567,'2019/02/13 20:52:21:425',8,0,-0.015748,0.055118,-0.007874,-0.023622,-0.015748,0,-0.007874,0,-0.007874,0.015748,0.007874,-0.007874,-0.007874,0.007874,-0.007874,-0.100464,-0.19397,-0.459473,0.860901,-0.432617,-0.749023,0.514648,-0.6875,1.375,1,0,0
4568,'2019/02/13 20:52:21:471',8,-0.007874,-0.015748,0.047244,0.015748,-0.007874,-0.007874,0,0,-0.015748,0,-0.055118,-0.023622,0.015748,-0.015748,0,-0.023622,-0.100647,-0.194458,-0.459534,0.860779,-0.434082,-0.759766,0.518066,-0.5,1.1875,0.75,0,0
4569,'2019/02/13 20:52:21:499',8,-0.007874,-0.023622,-0.007874,0,-0.007874,-0.015748,-0.007874,-0.007874,-0.007874,0.007874,0.062992,0.015748,-0.007874,0.015748,0,-0.007874,-0.100647,-0.194702,-0.45929,0.86084,-0.432129,-0.750977,0.515137,0.625,0.9375,0.5,0,0
4570,'2019/02/13 20:52:21:520',8,-0.007874,-0.023622,-0.047244,-0.023622,-0.007874,0.015748,-0.007874,0,-0.007874,-0.007874,0.023622,-0.007874,0,0.015748,0,0,-0.100647,-0.194763,-0.459229,0.86084,-0.437012,-0.754395,0.512207,-0.625,0.5,0.375,0,0
4571,'2019/02/13 20:52:21:551',8,0.007874,0.055118,0.362205,0.11811,0.023622,0.015748,-0.015748,-0.007874,0.007874,0,-0.110236,-0.03937,-0.007874,-0.015748,0,-0.007874,-0.100647,-0.194885,-0.459167,0.86084,-0.431152,-0.76123,0.516113,0.0625,1,0.625,0,0
4572,'2019/02/13 20:52:21:588',8,-0.007874,-0.015748,0.023622,0,0.007874,-0.023622,-0.023622,0,-0.015748,-0.007874,0.055118,0.023622,-0.007874,-0.023622,-0.007874,-0.007874,-0.100647,-0.195374,-0.459045,0.860779,-0.429199,-0.756836,0.518555,-0.4375,1.8125,0.8125,0,0
4573,'2019/02/13 20:52:21:637',8,-0.023622,-0.023622,-0.007874,-0.007874,0.015748,-0.007874,-0.031496,-0.031496,-0.007874,0,0.031496,-0.007874,-0.015748,0,-0.015748,-0.007874,-0.100586,-0.195801,-0.458984,0.860718,-0.434082,-0.758301,0.518066,-0.125,2.5,0.8125,0,0
4574,'2019/02/13 20:52:21:663',8,-0.007874,-0.023622,-0.070866,-0.023622,-0.015748,-0.015748,-0.023622,-0.007874,0.007874,-0.03937,0.007874,0,0,0.007874,0.007874,0,-0.100525,-0.196594,-0.459167,0.860474,-0.436035,-0.759766,0.513184,-0.25,2.1875,0.6875,0,0
4575,'2019/02/13 20:52:21:701',8,0,0.007874,-0.031496,-0.007874,-0.007874,-0.031496,0,0,-0.007874,-0.007874,0.070866,0,0,0.023622,0.015748,0,-0.100403,-0.197327,-0.458862,0.860474,-0.445313,-0.756836,0.504395,0.6875,1.0625,-0.125,0,0
